pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher.1,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2.4.1.1,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-09-28,97.7,-1.89,4.83,"Díaz, Edwin",650331,621242,strikeout,swinging_strike,,,,,5,Lewin Diaz strikes out swinging.,R,L,R,NYM,MIA,S,2,,1,2,2022,-1.17,1.3,-0.25,2.95,,,,1,9,Top,,,,,621512,,,7.296527199508260,-141.96402075054000,-2.4766378059668900,-17.615531994360400,38.87693926985960,-14.480146121209400,3.55,1.78,,,,99,2318,7.5,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,52.97,,0,0,1,0,0,,70,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,227,0.044,-0.112,,
SL,2022-09-28,92.6,-2.06,5.05,"Díaz, Edwin",650331,621242,,foul,,,,,8,Lewin Diaz strikes out swinging.,R,L,R,NYM,MIA,S,,,1,2,2022,0.04,0.68,0.24,2.25,,,,1,9,Top,,,,,621512,,,5.825387673371350,-134.72489178597100,-2.8533110416422000,-0.7261022797453620,29.38899634533740,-23.516964839512600,3.55,1.78,6,45.8,-20,93.8,2370,7,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.51,,,,,,,,70,4,Slider,4,4,4,4,4,4,4,4,Infield shift,Standard,192,0,0,,
SL,2022-09-28,93.2,-1.96,4.98,"Díaz, Edwin",650331,621242,,ball,,,,,14,Lewin Diaz strikes out swinging.,R,L,R,NYM,MIA,B,,,0,2,2022,-0.09,0.65,2.18,-0.53,,,,1,9,Top,,,,,621512,,,10.909398615002100,-134.9028818037500,-9.757760814607950,-3.770662278461490,33.14966030286320,-22.06989255945300,3.47,1.78,,,,93.4,2342,7,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.52,,,,,,,,70,3,Slider,4,4,4,4,4,4,4,4,Infield shift,Standard,213,0,0.011,,
FF,2022-09-28,100.2,-2.07,4.79,"Díaz, Edwin",650331,621242,,called_strike,,,,,4,Lewin Diaz strikes out swinging.,R,L,R,NYM,MIA,S,,,0,1,2022,-1.18,1.07,-0.41,2.52,,,,1,9,Top,,,,,621512,,,7.56056466749129,-145.59524654384400,-3.4154300725645300,-18.631709895543000,39.746072927029500,-16.408722885906300,3.65,1.79,,,,101.5,2405,7.5,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.03,,,,,,,,70,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,225,0,-0.031,,
FF,2022-09-28,97.4,-2.28,4.82,"Díaz, Edwin",650331,621242,,called_strike,,,,,13,Lewin Diaz strikes out swinging.,R,L,R,NYM,MIA,S,,,0,0,2022,-1.42,1.09,-0.6,1.55,,,,1,9,Top,,,,,621512,,,7.887586238643220,-141.40853566486700,-5.710699521515030,-20.885748514068400,37.630067997295800,-16.457377117204400,3.66,1.82,,,,98,2318,7.1,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.39,,,,,,,,70,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,232,0,-0.024,,
SL,2022-09-28,89.7,-2.03,5.1,"Díaz, Edwin",677954,621242,strikeout,swinging_strike_blocked,,,,,14,Jordan Groshans strikes out swinging.,R,R,R,NYM,MIA,S,2,,2,2,2022,-0.1,0.25,0.08,0.73,,,,0,9,Top,,,,,621512,,,5.490143658949920,-130.37462003636100,-5.341324386835380,-2.364620863131860,29.921474079570800,-28.28404343087520,3.55,1.67,,,,90.3,2326,6.9,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.58,,0,0,1,0,0,,69,5,Slider,4,4,4,4,4,4,4,4,Standard,Standard,213,0.058,-0.195,,
SL,2022-09-28,91.2,-2.04,5.11,"Díaz, Edwin",677954,621242,,ball,,,,,11,Jordan Groshans strikes out swinging.,R,R,R,NYM,MIA,B,,,1,2,2022,0.17,0.65,-1.05,2.75,,,,0,9,Top,,,,,621512,,,2.1139584947082400,-132.84061912573500,-1.450375829109320,1.6008942119369400,28.696012798116600,-24.408892922042700,3.58,1.7,,,,92,2417,6.7,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.77,,,,,,,,69,4,Slider,4,4,4,4,4,4,4,4,Standard,Standard,202,0,0.037,,
SL,2022-09-28,88.7,-1.99,5.18,"Díaz, Edwin",677954,621242,,swinging_strike,,,,,14,Jordan Groshans strikes out swinging.,R,R,R,NYM,MIA,S,,,1,1,2022,-0.12,0.32,0.31,0.89,,,,0,9,Top,,,,,621512,,,5.941980235570440,-129.0376623978970,-5.1663626963482400,-2.514325149585820,25.94180150278320,-27.777262014465900,3.55,1.67,,,,89.9,2320,6.9,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.56,,,,,,,,69,3,Slider,4,4,4,4,4,4,4,4,Standard,Standard,216,0,-0.054,,
FF,2022-09-28,96.2,-2.09,4.78,"Díaz, Edwin",677954,621242,,called_strike,,,,,9,Jordan Groshans strikes out swinging.,R,R,R,NYM,MIA,S,,,1,0,2022,-1.49,1.24,0.41,2.17,,,,0,9,Top,,,,,621512,,,10.213485424932900,-139.6255560067420,-4.141110868312490,-21.869222834345500,34.765827702529900,-15.221033790167400,3.65,1.72,,,,97.5,2357,7.4,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.08,,,,,,,,69,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,232,0,-0.043,,
SL,2022-09-28,89.5,-2.05,5.16,"Díaz, Edwin",677954,621242,,ball,,,,,12,Jordan Groshans strikes out swinging.,R,R,R,NYM,MIA,B,,,0,0,2022,0.17,0.68,1.4,2.98,,,,0,9,Top,,,,,621512,,,8.30503834809267,-130.10384423149500,-0.7603412079602270,0.08592371762789790,28.195078095215000,-24.54506051217400,3.7,1.77,,,,90.8,2440,7.2,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.28,,,,,,,,69,1,Slider,4,4,4,4,4,4,4,4,Standard,Standard,220,0,0.033,,
